Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9093/9781909313101.jpg,A Pug's Guide to Dating,Gemma Correll,Hardback,4.5,10.28,12.4,9781909313101,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9782/2110/9782211021562.jpg,Madeleine,Bemelmans,Paperback,4.0,13.25,17.0,9782211021562,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751570588.jpg,The Gift,Louise Jensen,Paperback,4.0,8.33,11.4,9780751570588,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1560/9780156013987.jpg,Le Petite Prince (French),Antoine de Saint-Exupery,Paperback,4.5,9.89,12.4,9780156013987,Poetry-Drama
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5617/9781561705665.jpg,Chakra Clearing,Doreen Virtue,Paperback,4.0,6.68,10.3,9781561705665,Mind-Body-Spirit
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241962169.jpg,Waging Heavy Peace,Neil Young,Paperback,3.5,12.96,13.9,9780241962169,Entertainment
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5011/9781501106835.jpg,The Finest Hours,Michael J. Tougias,Paperback,4.0,7.84,10.3,9781501106835,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7838/9781783831692.jpg,Messerschmitt,Manfred Griehl,Paperback,0.0,6.6,16.0,9781783831692,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0609/9780060915414.jpg,Teaching a Stone to Talk,Annie Dillard,Paperback,4.0,13.16,16.0,9780060915414,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5911/9781591168522.jpg,"One Piece, Vol. 7",Eiichiro Oda,Paperback,4.5,6.66,8.8,9781591168522,Graphic-Novels-Anime-Manga
